,source,target,value,region
0,Syria,Turkey,3600000,Middle East
1,Syria,Lebanon,950000,Middle East
2,Syria,Jordan,670000,Middle East
3,Syria,Iraq,250000,Middle East
4,Syria,Egypt,130000,Middle East
5,Syria,Europe,1300000,Europe
6,Syria,USA,18000,North America
